annee_numero_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
2019045;2019-04-15;32;44;40;17;38;6
2019069;2019-10-06;9;24;18;49;39;8
2019040;2019-03-04;16;38;18;45;10;3
2019068;2019-08-06;14;41;9;10;45;1
2019037;2019-03-27;49;45;25;10;19;1
2019063;2019-05-27;33;13;28;18;42;9
2019031;2019-03-13;29;5;20;8;32;3
2019062;2019-05-25;42;47;2;13;43;10
2019060;2019-05-20;32;14;43;29;41;1
2019059;2019-05-18;19;4;10;42;46;5
2019054;2019-06-05;23;38;5;24;35;3
2019053;2019-04-05;38;18;3;24;29;9
2019052;2019-01-05;26;48;25;16;34;8
2019050;2019-04-27;27;17;26;25;33;2
2019046;2019-04-17;29;17;34;48;8;3
2019044;2019-04-13;17;9;1;24;46;8
2019042;2019-08-04;24;9;26;15;13;9
2019041;2019-06-04;19;26;13;27;24;7
2019039;2019-01-04;32;14;35;46;11;10
2019036;2019-03-25;46;47;23;22;24;2
2019035;2019-03-23;12;1;40;28;26;6
2019034;2019-03-20;13;3;21;2;40;8
2019032;2019-03-16;33;19;1;31;22;1
2019027;2019-04-03;4;15;11;36;33;2
2019026;2019-02-03;46;42;38;25;16;9
2019025;2019-02-27;14;1;34;19;4;2
2019130;2019-10-30;46;13;48;2;22;1
2019128;2019-10-26;11;30;44;13;20;9
2019120;2019-07-10;19;4;2;35;11;5
2019117;2019-09-30;43;2;33;23;47;2
2019116;2019-09-28;18;15;12;19;40;5
2019115;2019-09-25;7;1;26;22;15;3
2019114;2019-09-23;36;20;42;34;29;4
2019112;2019-09-18;16;6;36;5;3;10
2019111;2019-09-16;42;35;31;32;13;5
2019110;2019-09-14;28;23;18;26;19;9
2019095;2019-10-08;37;4;12;9;18;3
2019094;2019-07-08;26;28;36;29;5;4
2019091;2019-07-31;32;18;8;36;30;5
2019090;2019-07-29;6;29;3;47;21;3
2019088;2019-07-24;39;25;10;32;40;10
2019083;2019-07-13;27;18;49;37;48;10
2019082;2019-10-07;7;21;29;35;47;6
2019079;2019-03-07;39;38;8;31;45;8
2019078;2019-01-07;38;23;41;3;17;3
2019072;2019-06-17;20;49;31;12;13;2
2019070;2019-12-06;25;31;45;38;3;9
2019067;2019-05-06;28;47;26;38;17;7
2019064;2019-05-29;36;48;14;13;6;2
2019061;2019-05-22;1;48;27;49;37;1
2019058;2019-05-15;38;44;46;27;42;1
2019055;2019-08-05;2;16;4;20;35;5
2019047;2019-04-20;4;30;15;49;45;3
2019043;2019-10-04;22;23;14;42;16;5
2019038;2019-03-30;15;44;41;3;2;3
2019033;2019-03-18;38;23;45;24;44;6
2019030;2019-11-03;25;24;16;6;5;1
2019029;2019-09-03;32;47;43;35;15;10
2019028;2019-06-03;14;23;15;44;46;5
2019023;2019-02-23;3;45;13;4;44;5
2019013;2019-01-30;20;47;15;11;30;9
2019012;2019-01-28;37;15;30;6;47;6
2019009;2019-01-21;17;26;30;47;20;6
2019007;2019-01-16;15;11;10;1;31;3
2019005;2019-12-01;19;24;11;34;25;8
